OTU_ID	Rank_1	Rank_2	Rank_3	Rank_4	Rank_5	Rank_6	Rank_7	Rank_8	Isolate	Isolate_percent_id	Isolate_query_cover	High_level_taxonomy	HL_hit_percent_id	HL_hit_query_cover
OTU_209	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Pseudomonadales_1	Pseudomonadaceae_1	Pseudomonas_1			Pseudomonas_sp.|GLBRC775	98.800	100	Bacteria_Proteobacteria	100.000	100
OTU_2932	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	R7c24_1						0	0	Bacteria_Proteobacteria	100.000	100
OTU_328	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Rhizobiales_1	Xanthobacteraceae_1					0	0	Bacteria_Proteobacteria	100.000	100
OTU_1000	Bacteria_1	Acidobacteriota_1	Acidobacteriae_1	Solibacterales_1	Solibacteraceae_1	Candidatus_solibacter_1				0	0	Bacteria_Acidobacteriota	100.000	100
OTU_497	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Gammaproteobacteria_incertae_sedis_1	Unknown_family_1	Acidibacter_1				0	0	Bacteria_Proteobacteria	99.200	100
OTU_787	Bacteria_1	Chloroflexi_1	Ktedonobacteria_1	C0119_1						0	0	Bacteria_Chloroflexi	99.600	100
OTU_4159	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	R7c24_1						0	0	Bacteria_Proteobacteria	100.000	98
OTU_13	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Burkholderiales_1	Oxalobacteraceae_1	Massilia_1				0	0	Bacteria_Proteobacteria	100.000	100
OTU_151	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Rhizobiales_1	Hyphomicrobiaceae_1	Pedomicrobium_1				0	0	Bacteria_Proteobacteria	100.000	100
OTU_354	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Xanthomonadales_1	Rhodanobacteraceae_1	Uncultured_203				0	0	Bacteria_Proteobacteria	100.000	100
OTU_109	Bacteria_1	Myxococcota_1	Polyangia_1	Polyangiales_1	Birii41_1					0	0	Bacteria_Myxococcota	100.000	100
OTU_41	Bacteria_1	Bacteroidota_1	Bacteroidia_1	Chitinophagales_1	Chitinophagaceae_1	Niastella_1				0	0	Bacteria_Bacteroidota	100.000	100
OTU_53	Bacteria_1	Chloroflexi_1	Kd4-96_1							0	0	Bacteria_Chloroflexi	99.600	100
OTU_192	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Burkholderiales_1	Oxalobacteraceae_1	Noviherbaspirillum_1				0	0	Bacteria_Proteobacteria	100.000	100
OTU_1487	Bacteria_1	Firmicutes_1	Bacilli_1	Entomoplasmatales_1	Type_iii_1	Uncultured_mollicutes_bacterium_8				0	0		0	0
OTU_10696	Bacteria_1	Chloroflexi_1	Anaerolineae_1	Sbr1031_1	A4b_1					0	0	Bacteria_Chloroflexi	98.795	99
OTU_370	Bacteria_1	Bacteroidota_1	Bacteroidia_1	Chitinophagales_1	Chitinophagaceae_1	Puia_1				0	0	Bacteria_Bacteroidota	100.000	100
OTU_186	Bacteria_1	Actinobacteriota_1	Actinobacteria_1	Micromonosporales_1	Micromonosporaceae_1	Dactylosporangium_1				0	0	Bacteria_Actinobacteriota	100.000	100
