OTU_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species	Isolate	Isolate_percent_id	Isolate_query_cover	High_level_taxonomy	HL_hit_percent_id	HL_hit_query_cover
FOTU_359	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Pluteaceae	Pluteus	Pluteus multiformis		0	0	Fungi	97.000	100
FOTU_56	Fungi	Ascomycota							0	0	Fungi	90.173	86
FOTU_339	Fungi	Ascomycota	Dothideomycetes	Pleosporales					0	0	Fungi	92.821	97
FOTU_9661	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	Glomus sp 		0	0	Fungi	95.408	97
FOTU_2996	Fungi	Ascomycota	Leotiomycetes	Helotiales	Chaetomellaceae	Pilidium			0	0	Fungi	100.000	98
FOTU_344	Fungi	Basidiomycota	Agaricomycetes	Trechisporales	Hydnodontaceae	Subulicystidium	Subulicystidium perlongisporum		0	0	Fungi	93.659	100
FOTU_3147	Fungi	Ascomycota	Sordariomycetes						0	0		0	0
FOTU_471	Fungi	Ascomycota	Leotiomycetes	Helotiales					0	0	Fungi	96.500	100
FOTU_572	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae				0	0		0	0
FOTU_789	Fungi	Ascomycota							0	0		0	0
FOTU_133	Fungi	Ascomycota	Sordariomycetes	Xylariales	Incertae_sedis	Fusidium	Fusidium sp 		0	0	Fungi	100.000	100
FOTU_1810	Fungi	Ascomycota	Sordariomycetes	Sordariales					0	0	Fungi	99.000	100
FOTU_2034	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Claroideoglomeraceae	Claroideoglomus	Claroideoglomus claroideum		0	0	Fungi	96.618	100
FOTU_8281	Fungi	Basidiomycota	Agaricomycetes	Atheliales	Atheliaceae	Athelia			0	0	Fungi	98.020	100
FOTU_847	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae				0	0	Fungi	93.137	100
FOTU_262	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Echria	Echria gigantospora		0	0	Fungi	96.791	93
FOTU_37								Mock_sp3	100.000	100	MockK	100.000	100
FOTU_98	Fungi	Basidiomycota	Agaricomycetes						0	0	Fungi	81.000	94
FOTU_753	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metarhizium	Metarhizium carneum		0	0	Fungi	99.379	81
FOTU_404	Fungi	Ascomycota							0	0	Fungi	100.000	100
FOTU_350	Fungi	Ascomycota	Sordariomycetes						0	0	Fungi	94.231	77
FOTU_358	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Serendipitaceae				0	0	Fungi	95.025	100
FOTU_1380	Fungi							Uncultured_Ascomycota|GLBRC200	99.457	92	Fungi	99.000	100
FOTU_175	Fungi	Ascomycota	Sordariomycetes	Hypocreales					0	0	Fungi	98.421	95
FOTU_956	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Dactylonectria	Dactylonectria anthuriicola		0	0	Fungi	99.000	100
FOTU_219	Fungi	Ascomycota	Dothideomycetes						0	0		0	0
FOTU_179	Fungi	Ascomycota	Leotiomycetes	Helotiales					0	0	Fungi	97.500	100
FOTU_846	Viridiplantae	Anthophyta	Monocotyledonae	Poales	Poaceae				0	0	Viridiplantae	91.053	95
FOTU_32	Mockk	Mockp	Mockc	Mocko	Mockf	Mockg		Mock_sp9	100.000	100	MockK	100.000	100
FOTU_4077	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	Glomus sp 		0	0	Fungi	97.475	98
FOTU_41	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium sp 		0	0	Fungi	99.500	100
FOTU_950	Fungi	Ascomycota	Leotiomycetes	Helotiales	Incertae_sedis	Mycoarthris	Mycoarthris corallina		0	0	Fungi	99.000	100
FOTU_8	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae				0	0	Fungi	81.622	91
FOTU_3483	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala			0	0	Fungi	94.845	97
FOTU_785	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Serendipitaceae				0	0	Fungi	95.522	100
FOTU_270	Fungi	Basidiomycota	Agaricomycetes	Agaricales					0	0	Fungi	100.000	100
FOTU_976	Fungi	Ascomycota	Dothideomycetes	Pleosporales					0	0	Fungi	83.663	100
