OTU_ID,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,B26,B27,Phylum,Class,Taxon
OTU_120,0,4,3,0,0,2,0,0,0,7,6,2,4,0,6,3,5,7,0,0,2,0,5,0,0,0,9,Firmicutes,,Paenibacillus
OTU_121,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,Actinobacteria,,Cellulomonas
OTU_122,3,7,0,6,0,2,1,2,0,0,6,0,1,0,2,0,2,0,0,0,0,0,4,1,0,0,4,Acidobacteria,,Gp4
OTU_123,4,1,0,15,15,0,0,6,2,0,0,0,0,0,2,0,3,0,0,0,5,1,0,1,0,0,6,Bacteroidetes,Sphingobacteria,Flavisolibacter
OTU_124,1,2,0,1,2,0,0,0,0,4,0,2,1,7,0,1,2,1,0,14,5,0,3,3,5,0,0,Bacteroidetes,Sphingobacteria,Solitalea
OTU_125,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,2,3,0,6,Bacteroidetes,Sphingobacteria,Sediminibacterium
OTU_126,0,0,1,2,0,3,4,6,6,1,0,1,0,2,1,0,10,2,2,0,2,10,1,0,2,2,3,Proteobacteria,Gammaproteobacteria,Rudaea
OTU_127,8,2,2,3,3,6,2,5,0,1,5,7,3,3,0,3,0,0,0,0,2,0,1,2,4,0,0,Actinobacteria,,Catenulispora
OTU_128,3,0,0,2,0,0,1,0,0,4,0,2,2,5,6,4,3,3,0,0,1,2,0,1,4,0,0,Planctomycetes,Planctomycetacia,Planctomyces
OTU_129,0,2,2,18,9,0,0,0,2,4,2,1,0,1,0,3,1,2,0,2,0,0,4,2,0,2,0,Proteobacteria,Gammaproteobacteria,Cytophaga
OTU_130,0,0,0,0,0,1,0,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Actinobacteria,,Kribbella
OTU_131,3,1,4,2,1,0,0,0,1,3,4,3,2,3,0,2,2,3,2,1,0,9,3,1,2,3,0,Bacteroidetes,Sphingobacteria,Chitinophaga
OTU_132,0,0,6,0,0,0,2,1,2,1,0,0,3,1,0,0,0,2,0,0,0,0,2,2,0,1,0,Proteobacteria,Alphaproteobacteria,Rhodomicrobium
