OTU_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU_1463	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	
OTU_1464	Fungi	Ascomycota	Sordariomycetes				
OTU_1465	Fungi	Basidiomycota	Microbotryomycetes	Leucosporidiales			
OTU_1466	Fungi	Ascomycota	Leotiomycetes	Helotiales			
OTU_1467	Fungi	Basidiomycota					
OTU_1468	Fungi	Ascomycota					
OTU_1469	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae		
OTU_1470	Fungi	Chytridiomycota					
OTU_1471	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales			
OTU_1472	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	Cladophialophora chaetospira
OTU_1473	Fungi						
OTU_1474	Viridiplantae	Chlorophyta	Pseudostichococcus	Pseudostichococcus_monallantoides			
OTU_1475	Viridiplantae	Chlorophyta	Chlorophyceae	Chlamydomonadales			
OTU_1476	Fungi						
OTU_1477	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Comoclathris	Comoclathris rosae
OTU_1478	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	
OTU_1479	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Pluteaceae	Pluteus	
OTU_1480	Fungi	Ascomycota	Leotiomycetes	Helotiales			
OTU_1481							
OTU_1482	Fungi	Ascomycota	Dothideomycetes	Venturiales	Venturiaceae		
OTU_1483	Fungi	Ascomycota	Dothideomycetes	Pleosporales			
OTU_1484	Fungi	Ascomycota	Leotiomycetes	Helotiales	Leotiaceae	Gorgomyces	Gorgomyces sp 
OTU_1485	Fungi	Ascomycota	Leotiomycetes	Helotiales			
OTU_1486	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae		
OTU_1487	Viridiplantae	Chlorophyta					
OTU_1488	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	
OTU_1489	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Entoloma	Entoloma vernum
OTU_1490	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae		
OTU_1491	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Paraphoma	Paraphoma fimeti
OTU_1492	Viridiplantae	Chlorophyta	Chlorophyceae	Sphaeropleales	Bracteacoccaceae	Bracteacoccus	Bracteacoccus sp 
OTU_1493	Viridiplantae	Chlorophyta	Coccomyxa	Coccomyxa_solorinae			
OTU_1494	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Sebacinaceae	Sebacina	Sebacina sp 
OTU_1495	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae		
OTU_1496	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Heterocephalacria	
OTU_1497	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	Preussia sp 
OTU_1498	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales			
OTU_1499	Fungi						
OTU_1500	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Chromelosporium	Chromelosporium carneum
OTU_1501	Fungi	Ascomycota	Leotiomycetes	Helotiales	Dermateaceae		
OTU_1502	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Trichomonascaceae	Blastobotrys	Blastobotrys serpentis
OTU_1503	Fungi	Ascomycota	Dothideomycetes	Pleosporales			
OTU_1504	Rhizaria	Cercozoa					
OTU_1505	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales			
OTU_1506	Fungi	Ascomycota	Leotiomycetes	Helotiales	Leotiaceae	Miniancora	Miniancora allisoniensis
OTU_1507	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Entoloma	Entoloma serrulatum
OTU_1508	Fungi	Ascomycota	Dothideomycetes				
OTU_1509	Fungi	Basidiomycota	Microbotryomycetes	Incertae_sedis	Chrysozymaceae	Pseudohyphozyma	
OTU_1510	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae		
OTU_1511	Viridiplantae	Chlorophyta	Chlamydomonas	Chlamydomonas_callunae			
OTU_1512	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Incertae_sedis		
OTU_1513	Fungi	Basidiomycota	Cystobasidiomycetes	Cystobasidiales	Cystobasidiaceae		
OTU_1514							
OTU_1515	Fungi	Ascomycota	Dothideomycetes	Dothideales	Dothioraceae	Hormonema	Hormonema viticola
OTU_1516	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Ophiosphaerella	Ophiosphaerella sp 
OTU_1517							
OTU_1518	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Hyaloscypha	Hyaloscypha finlandica
OTU_1519	Fungi	Ascomycota	Sordariomycetes	Hypocreales			
OTU_1520	Fungi	Ascomycota					
OTU_1521	Fungi	Ascomycota	Leotiomycetes	Helotiales			
OTU_1522	Fungi	Basidiomycota	Agaricomycetes	Boletales	Boletaceae	Xerocomus	Xerocomus subtomentosus
OTU_1523	Fungi	Ascomycota	Sordariomycetes	Sordariales			
OTU_1524	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	Malassezia arunalokei
OTU_1525	Fungi	Ascomycota	Dothideomycetes	Pleosporales			
OTU_1526							
OTU_1527	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Trimorphomycetaceae	Sugitazyma	Sugitazyma miyagiana
OTU_1528	Fungi	Basidiomycota	Cystobasidiomycetes				
OTU_1529	Fungi	Ascomycota	Leotiomycetes	Helotiales			
OTU_1530	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Piskurozyma	Piskurozyma sp 
OTU_1531							
OTU_1532	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Clitopilus	
OTU_1533	Fungi	Ascomycota	Dothideomycetes	Venturiales	Sympoventuriaceae		
OTU_1534	Fungi	Ascomycota	Dothideomycetes	Pleosporales			
OTU_1535	Fungi	Ascomycota	Dothideomycetes	Pleosporales			
OTU_1536	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Piskurozyma	Piskurozyma sp 
