OTU_ID,taxonomy,Guild,Confidence Ranking
OTU_255,"Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella",Ectomycorrhizal,Highly Probable
OTU_257,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,Amanita_groenlandica_SH1611311.08FU",Ectomycorrhizal,Highly Probable
OTU_259,"Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella",Ectomycorrhizal,Highly Probable
OTU_26,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Inocybe",Ectomycorrhizal,Probable
OTU_271,"Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Terfezia,Terfezia_pseudoleptoderma_SH1510541.08FU",Ectomycorrhizal,Highly Probable
OTU_272,"Fungi,Ascomycota,Pezizomycetes,Pezizales,Helvellaceae,Helvella,Helvella_pseudolacunosa_SH1556900.08FU",Ectomycorrhizal,Highly Probable
OTU_276,"Fungi,Ascomycota,Pezizomycetes,Pezizales,Tuberaceae,Tuber,Tuber_gennadii_SH1547793.08FU",Ectomycorrhizal,Highly Probable
OTU_28,"Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Leccinellum,Leccinellum_corsicum_SH1573433.08FU",Ectomycorrhizal,Highly Probable
OTU_286,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Inocybe",Ectomycorrhizal,Probable
OTU_287,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Inocybe,Inocybe_ericetorum_SH1527385.08FU",Ectomycorrhizal,Probable
OTU_29,"Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella",Ectomycorrhizal,Highly Probable
OTU_307,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,Amanita_torrendii_SH1235271.08FU",Ectomycorrhizal,Highly Probable
OTU_313,"Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella",Ectomycorrhizal,Highly Probable
OTU_315,"Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella",Ectomycorrhizal,Highly Probable
OTU_325,"Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella",Ectomycorrhizal,Highly Probable
OTU_33,"Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Russula,Russula_cyanoxantha_SH1567120.08FU",Ectomycorrhizal,Highly Probable
OTU_334,"Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Geopora,Geopora_clausa_SH1637476.08FU",Ectomycorrhizal,Highly Probable
OTU_338,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Inocybe",Ectomycorrhizal,Probable
OTU_339,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae",Ectomycorrhizal,Probable
