OTU_ID,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,B26,B27,Taxon
OTU_175,24,98,12,4,70,0,20,48,4,0,10,26,0,24,114,12,64,10,8,0,28,18,166,14,266,20,42,Holtermanniella_festucosa
OTU_93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,4,490,306,262,0,Russula_violeipes
OTU_130,0,0,0,0,0,0,0,20,8,0,248,12,0,0,22,0,0,0,8,30,190,22,116,304,50,18,40,Leptodontidium
OTU_283,86,38,24,40,64,30,118,26,0,8,72,4,86,0,0,6,20,6,26,90,48,100,44,86,0,12,16,Chaetothyriales
OTU_63,0,0,50,0,0,0,0,0,0,70,0,0,0,0,0,12,0,4,16,6,774,0,0,86,0,0,0,Amanita_excelsa
OTU_241,84,44,40,20,28,0,0,0,0,16,86,44,38,42,46,24,24,10,26,0,38,24,24,200,14,60,32,Eurotiales
OTU_209,68,54,28,6,0,0,0,0,0,0,0,0,10,0,0,0,0,0,54,102,48,66,254,162,16,32,56,GS37
OTU_567,10,8,46,58,98,34,124,126,106,0,0,0,0,10,0,0,0,0,66,0,0,54,40,166,4,4,0,Umbelopsis_angularis
OTU_1265,0,0,0,0,0,0,0,0,0,0,620,0,122,78,0,90,0,0,0,0,0,0,0,0,0,0,0,Tricholoma_portentosum
OTU_53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,8,886,0,0,0,0,Inocybe_rimosa
OTU_114,0,0,0,0,0,0,0,0,0,212,144,0,392,0,18,0,0,22,0,0,0,0,114,0,0,0,0,Tomentella_subclavigera
OTU_192,32,4,0,0,0,24,186,0,4,14,84,44,36,60,30,4,112,38,16,48,14,8,10,68,18,40,6,Helotiales
OTU_65,0,0,0,0,0,0,0,0,0,0,10,0,0,0,708,0,0,0,0,0,0,150,0,0,32,0,0,Rhizoscyphus
OTU_165,4,0,0,154,0,0,10,28,4,6,238,34,48,0,12,0,0,0,0,30,0,8,128,0,34,152,0,Terfezia_alsheikhii
OTU_229,44,68,32,10,10,10,6,0,0,30,58,18,20,0,4,18,54,4,24,56,18,96,6,160,8,44,90,Saccharomycetales
