OTU_ID	Rank_1	Rank_2	Rank_3	Rank_4	Rank_5	Rank_6	Rank_7	Rank_8	Isolate	Isolate_percent_id
OTU_111	Bacteria_1	Actinobacteriota_1	Actinobacteria_1	Micrococcales_1	Microbacteriaceae_1	Lysinimonas_1			5_T_B4	98.000
OTU_112	Bacteria_1	Acidobacteriota_1	Vicinamibacteria_1	Subgroup_17_1					8_40_B7	81.224
OTU_113	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Burkholderiales_1	Nitrosomonadaceae_1	Mnd1_1			2_EST_B8	88.000
OTU_114	Bacteria_1	Actinobacteriota_1	Thermoleophilia_1	Gaiellales_1	uncultured_48				15_100_B4	82.000
OTU_115	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Reyranellales_1	Reyranellaceae_1	Reyranella_1			15_INT_B3	80.321
OTU_116	Bacteria_1	Firmicutes_1	Bacilli_1	Paenibacillales_1	Paenibacillaceae_1	Paenibacillus_1			4_200_B3	99.600
OTU_117	Bacteria_1	Actinobacteriota_1	Acidimicrobiia_1	Imcc26256_1					16_40_B2	85.771
OTU_118	Bacteria_1	Chloroflexi_1	Chloroflexia_1	Thermomicrobiales_1	Jg30-kf-cm45_1				17_INT_B2	79.283
OTU_119	Bacteria_1	Acidobacteriota_1	Vicinamibacteria_1	Vicinamibacterales_1	Uncultured_60				2_EST_B3	84.400
OTU_120	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Burkholderiales_1	Nitrosomonadaceae_1	Mnd1_1			2_EST_B8	86.508
OTU_121	Bacteria_1	Actinobacteriota_1	Actinobacteria_1	Frankiales_1	Acidothermaceae_1	Acidothermus_1			16_40_B2	91.235
OTU_122	Bacteria_1	Planctomycetota_1	Planctomycetes_1	Gemmatales_1	Gemmataceae_1	Uncultured_104				0
OTU_123	Bacteria_1	Chloroflexi_1	Kd4-96_1						4_20_B6	85.657
OTU_124	Bacteria_1	Actinobacteriota_1	Acidimicrobiia_1	Microtrichales_1	Ilumatobacteraceae_1	Ilumatobacter_1			12_100_B4	85.020
