#OTU ID	sample5	sample3	sample4	sample8	sample2	sample10	sample1	sample6	sample9	sample7
OTU_501	0	12	1623	0	0	0	0	0	2	145
OTU_1363	0	3	0	0	0	0	0	0	0	0
OTU_1282	0	21	6	0	0	0	0	0	0	0
OTU_1306	0	3	0	0	0	0	0	0	0	0
OTU_836	0	9	0	0	0	0	0	0	0	0
OTU_1319	0	21	31	0	94	7	17	0	0	2
OTU_800	0	1	153	0	0	0	0	0	0	0
OTU_25	0	5	1	0	1	6	5898	0	3	1
OTU_282	0	2	0	1	0	0	6	1	175	0
OTU_203	0	30	83	2	159	1	60	0	1	1
OTU_1182	0	5	3	0	0	0	1	5	0	1
OTU_1298	0	5	0	0	0	0	0	5	0	69
OTU_390	0	32	3	0	0	0	0	0	0	0
OTU_797	0	36	223	0	0	2	0	0	0	0
OTU_393	0	1	31	1	33	0	0	0	0	0
OTU_224	0	77	40	0	0	0	0	0	0	0
OTU_1231	0	27	6	0	0	0	0	0	0	0
OTU_96	0	4	0	0	2966	2	2	1	1	0
OTU_11	0	7	1	0	3	12	9456	0	0	0
OTU_938	0	101	35	0	0	0	0	0	0	0
OTU_5	0	12	2	0	14030	8	2	3	2	1
OTU_415	0	10	21	0	0	0	0	0	0	0
OTU_83	0	23	0	0	0	0	1302	0	0	0
OTU_1209	0	10	0	0	0	0	0	0	0	0
OTU_550	0	17	23	0	9	0	2	0	0	0
OTU_1014	0	1	0	0	0	0	0	100	0	0
OTU_886	0	43	25	0	0	1	0	0	0	0
OTU_428	0	7	11	0	15	0	10	0	1	0
OTU_1267	0	1	0	19	88	3	1	1	0	9
OTU_929	0	91	177	0	0	0	0	0	0	0
OTU_124	0	1	0	1	0	2	1	0	633	2
OTU_216	0	36	119	0	0	0	0	0	0	0
OTU_531	0	15	8	0	0	0	0	0	0	0
OTU_1171	0	31	0	0	0	0	0	0	0	0
OTU_878	0	4	2	0	0	0	0	0	0	0
OTU_637	0	28	48	0	0	0	0	0	0	0
OTU_273	0	13	70	0	0	0	0	0	0	0
OTU_1213	0	36	70	0	0	0	0	0	0	0
OTU_29	0	3	1	0	4775	4	1	0	1	0
OTU_1056	0	1	0	0	648	0	1	0	0	0
OTU_28	0	2	0	0	4696	2	1	0	0	0
OTU_740	0	7	0	0	0	0	536	0	1	0
OTU_753	0	3	4	0	0	0	0	0	0	0
OTU_864	0	4	98	0	0	0	52	1	0	1
OTU_499	0	33	32	0	0	0	0	0	0	0
OTU_395	0	5	4	0	27	0	0	0	0	0
OTU_766	0	9	5	0	12	0	4	2	0	4
OTU_1366	0	2	0	0	0	0	0	0	0	0
OTU_116	0	14	488	3	0	3	127	1	0	0
OTU_272	0	1	0	0	0	0	0	221	0	0
OTU_1221	0	1	0	0	0	0	153	0	0	0
OTU_413	0	15	17	0	0	0	0	0	0	0
OTU_19	0	3	0	0	0	14	6340	0	1	1
OTU_1345	0	14	3	0	4	0	0	0	0	0
OTU_498	0	17	0	0	0	0	0	0	0	0
OTU_287	0	7	64	0	30	0	0	1	0	0
OTU_215	0	27	262	1	6	3	1086	1	0	13
OTU_539	0	16	0	0	0	0	0	0	0	0
